gene,p_val,avg_log2FC,padj
Z99774.1,0.0004193126030658,-1.51528055011404,0.0377444239649761
AC009137.1,0.0029908025496872,-1.51508981564842,0.0880436080748196
AC005921.2,2.46048268720552E-05,-1.51187355563054,0.0117935695844396
LINC01901,0.003691125682686,-1.50749962177024,0.096867836246935
KLRB1,0.0107142102514474,-1.50426340883483,0.15531953111009
AL138799.4,0.0030436631358741,-1.50098772730527,0.0886370315679525
AC073575.1,0.0012741613283597,-1.49650367419214,0.0623334956371226
RASL10A,2.64714212619115E-05,-1.49386549261197,0.0117935695844396
AC006270.1,0.0007188045313241,-1.49007548257239,0.0475758749170175
AC018878.1,0.0132024325088519,-1.48897507461798,0.174677455512644
AC021678.2,9.63314434245519E-06,-1.48467508039291,0.0077797654992915
CRH,0.0004800044511644,-1.4830129329219,0.0396188914367807
AC007193.1,0.0024738086721655,-1.4782838400845,0.0819754349839403
AC064852.1,0.001945377451067,-1.46527058530803,0.0752403787112606
WWC3-AS1,0.0013306656402496,-1.46254508330429,0.0636131042083769
AC109811.1,0.0030887893286043,-1.4612179554229,0.089073991825788
SLC28A2,0.0001908739274916,-1.45868505951638,0.0274904265330536
AC018832.1,0.0022283068396939,-1.45767167201626,0.0790536197860526
C7orf69,0.0045811053646475,-1.45371082151236,0.105110931287068
AP003071.2,0.0020313929395595,-1.45234204040481,0.0762623555686692
DPP10-AS3,0.0065781465765614,-1.45078985331143,0.124476714445133
AC087501.1,0.0055315963304002,-1.4499965566561,0.114080002156138
AC097467.3,0.003546888996593,-1.44891654446159,0.0950586179970766
AP002433.1,0.0003387277420661,-1.44682290902018,0.0332078608223694
LINC01749,0.0004358750256642,-1.44482429133616,0.038104930561708
AL450998.3,0.0101083724588664,-1.44086666867044,NA
AC024996.1,0.0017208050505191,-1.43956500432124,0.0717121604733695
AP4B1-AS1,0.0001397592077325,-1.43949661486048,0.0252128993533604
AC124312.2,0.0071534636173754,-1.43354627731453,0.127864498631386
CCDC163,0.030282514808126,-1.43140491506592,0.242281731595815
AC078993.1,0.0018909270209702,-1.42974402607389,0.0746974806235848
AC134312.5,0.0052670655274514,-1.42820129995861,0.111819552701307
AL627232.1,0.0103330307384822,-1.42686146190079,0.152434408335406
AC005740.3,0.0022090367352021,-1.42577788615152,0.0790536197860526
AL050350.1,0.0015544148947406,-1.42537691505947,0.0682539789024772
AC013472.2,0.001188734205811,-1.42397876985786,0.059946167807327
AC022872.1,9.11148743426763E-05,-1.42386816259061,0.0195278700332286
AC095030.1,0.0122948039943397,-1.42379304800577,0.16849383435113
CELF2-AS2,8.81601400548738E-05,-1.42172080117713,0.0193554512366816
AC087071.2,0.0006743379276031,-1.42155864405786,0.0458117196627882
IZUMO2,0.0087779792652643,-1.42069273010223,NA
AL161756.1,0.0001516358445628,-1.42017294997094,0.0259119527017153
FER1L6,0.0127240945636394,-1.41280458166746,0.171332740784742
AC097450.1,0.0047388292468515,-1.41167908096453,0.105979059541699
SYNPO2L,0.0017432802684938,-1.40990837074178,0.0719497923108013
AC068888.2,0.0051033060456784,-1.40913090826081,NA
AC106736.1,0.0071204426074928,-1.40704349125536,0.127864498631386
GPR171,0.0362911898179588,-1.40511666950901,0.262179089202533
NOTUM,0.0038481863167745,-1.40188512538293,0.0978459515680927
NEDD9,4.8681955259686E-06,-1.39194523098677,0.0058428082702675
AC006504.2,0.0036341295183504,-1.38972491229946,0.0963592392928174
AC009974.2,0.001528846417476,-1.38783134777633,0.0674603481711314
CNTN4-AS2,0.0008278068651906,-1.3875276633609,0.0507766264717284
ZBTB20-AS2,0.0041316865997725,-1.38665989385955,0.100246298996907
PSG11,0.0141962001640703,-1.38550161633475,0.180590008070646
AC090617.4,0.0014977585560159,-1.38347654162159,0.0672341232083888
AL035681.1,0.0001115391171747,-1.38314594401948,0.022026283220833
AL138999.2,0.0001269133124459,-1.38178057341879,0.024306599616652
AL365205.4,0.0009392757102889,-1.37943708153298,0.0539515334195596
AC006160.1,0.0002354156864793,-1.37713130554584,0.0303424801972711
AL356580.1,0.0009991421079029,-1.37632891053114,0.0546970911300925
AL079338.1,0.0005193366646991,-1.37605005333477,0.0406505129329548
AL049647.1,0.0038778562724975,-1.37598658251462,0.0978531913074826
PLAC1,0.0002544950378814,-1.37508575107964,0.0303424801972711
ZBTB20-AS5,0.0002584582575454,-1.36616898198392,0.0303424801972711
RAB32,9.48411059454111E-05,-1.36606414794672,0.0198537724457586
AC025175.2,0.0135074134262431,-1.36432939710484,NA
AP005131.5,0.0028246454573805,-1.3631980831102,0.0863842254967185
BUB1B,0.0058530282998583,-1.36191117199122,0.116637305333574
AL031985.4,0.001762476165587,-1.35707955050302,0.0719497923108013
AC007216.2,0.007563804725652,-1.35557490557388,0.131501453674545
TAS1R1,0.0036848134911011,-1.35418552645287,0.0968433536938606
AL353693.1,0.0022540651391724,-1.35335714874641,0.0791031865507228
AC005014.4,0.005264353247594,-1.35316341595243,0.111819552701307
AC006004.1,0.0002362981489898,-1.35212631077014,0.0303424801972711
AL442071.1,0.0011002357527283,-1.35102160211779,0.0577479424383905
AC009102.4,0.0118691147140817,-1.34732161465244,0.164876290275936
AL358154.1,0.0024654638643919,-1.3471266245034,0.0818925202041478
AC097634.3,0.0001619211882694,-1.34703743423239,0.0259174318873759
AL591684.1,0.0077343232151392,-1.34558123951985,0.133500499369273
WDR88,5.12135238953945E-05,-1.34271793351333,0.0140376102718256
AC020611.2,0.0030476210931823,-1.34169654418875,0.0886370315679525
NECTIN1-AS1,0.0096244849841963,-1.3393868675125,0.148807652486659
AL450306.1,0.0020270973930571,-1.33772111597689,0.0762623555686692
HTR2B,0.0042187000457996,-1.33553905710765,0.101130834786325
AC046130.1,0.0125780501227376,-1.33510327277363,0.170642529283832
CADM2-AS1,0.000787758380273,-1.33302695685723,0.0497782120533959
AC087235.1,0.0139212319730078,-1.33259719314728,0.178761725542125
MARVELD3,0.0101606187390022,-1.33089510709633,0.151681933191615
AC087521.2,7.98992664749526E-05,-1.32895967601659,0.0186808635629685
AC044840.1,0.0079915558484549,-1.3289430783194,0.136975638419043
PTGDR,0.0180774972190747,-1.32798860483814,0.199384589498117
MYT1L-AS1,0.0008363444337981,-1.32739380165181,0.0510396909887042
AC008073.2,0.0423651345462179,-1.32669169212303,0.281854958327997
AC007495.1,0.0005709867088919,-1.32564642935007,0.0426534179260632
SRGAP2-AS1,0.001849304934926,-1.32454492173033,0.0738919739651896
AC025576.3,0.0282034104357301,-1.32408844182885,0.234850137869773
FAM90A1,0.0019700219114019,-1.32393421869579,0.0754602222786579
LINC02500,0.0513600866907805,-1.32047553269352,0.308314651781968
LMO1,0.0114595404524536,-1.31904243159807,NA
SERPIND1,0.0101693194019289,-1.31892775398327,0.151681933191615
AC068725.1,0.0002738283780488,-1.317123842302,0.0303424801972711
TDRG1,0.0013812698949181,-1.31423847575733,0.0645896153719777
HRNR,0.0126958529114452,-1.31400456324143,0.171332740784742
AC108676.1,0.0227450271713502,-1.31147059740103,0.214524860801684
AC112196.1,0.0001594400200144,-1.31094970379438,0.0259174318873759
